Product Id,SKU ID,Category,Brand,Vertical,Order Date,Fulfillment Type,Location Id,Gross Units,GMV,Cancellation Units,Cancellation Amount,Return Units,Return Amount,Final Units Sold,Final Sales Made
CBKGUSXGVEDS79,301005,Grooming,Glow Glisten,ComboAndKit,2023-06-03,FBF,malur_bts,1,719,0,0,0,0,1,719
MSCFK7B5R4JMNP,301005,Grooming,Korean Essence,Facewash,2023-08-03,FBF,bhi_vas_wh_nl_01nl,24,11262,4,1883,0,0,20,9379
FCPGK23TZRJFHC,301005,Grooming,Glow Glisten,FaceCreamAndGel,2023-11-27,FBF,gur_san_wh_nl_01nl,2,1580,0,0,0,0,2,1580
SNRG6RQMXHDFTX,301005,Grooming,Korean Essence,FacePack,2023-05-30,FBF,ulub_bts,7,3364,0,0,0,0,7,3364
TNRFEV8FYNRFZJ,301005,Grooming,Essential Glow,Facewash,2024-02-11,FBF,malur_bts,32,15015,4,1888,0,0,28,13127
LSQFH9X4BAHZZW,301005,Grooming,Korean Essence,SkinTreatment,2024-05-16,FBF,ulub_bts,2,881,0,0,0,0,2,881
CNRGK5GYKRBPCN,601000,Grooming,Pure Care,FaceCreamAndGel,2023-12-14,FBF,ulub_bts,12,9604,1,804,1,806,10,7994
CNRG6PYZZ27WWF,301005,Grooming,Korean Essence,FaceCreamAndGel,2023-07-03,FBF,bhi_vas_wh_nl_01nl,1,904,1,904,0,0,0,0
CNRGM7F3WQCUSP,301005,Grooming,Glow Glisten,FaceCreamAndGel,2024-04-01,FBF,ulub_bts,2,1603,0,0,0,0,2,1603
MSCGZJ9XAHCC7J,301005,Grooming,Pure Care,SkinTreatment,2024-03-13,FBF,malur_bts,2,853,1,414,0,0,1,439
SNRG6RN8ARHCKP,301005,Grooming,Korean Essence,Facewash,2023-05-04,NON_FBF,LOCee351ee44b0e404cadbd2615fe822e76,24,9456,6,2358,0,0,18,7098
CNRGM7F3WQCUSP,301005,Grooming,Glow Glisten,FaceCreamAndGel,2023-10-19,FBF,ulub_bts,1,804,0,0,0,0,1,804
CBKGKPKNGRVQXG,301005,Grooming,Korean Essence,BodyLotion,2024-05-12,NON_FBF,LOCcc23232f860c4cbb862e3a5cbe834972,1,1119,0,0,0,0,1,1119
MSCGZJ9XAHCC7J,301005,Grooming,Pure Care,Facewash,2024-01-04,NON_FBF,LOCcc23232f860c4cbb862e3a5cbe834972,1,824,0,0,0,0,1,824
CNRG988K8WNZQE,301005,Grooming,Korean Essence,FacePack,2023-10-15,FBF,malur_bts,4,1355,2,650,0,0,2,705
BSTGZJRSJH2KRR,301005,Grooming,Korean Essence,Facewash,2024-03-05,FBF,malur_bts,12,9505,2,1588,0,0,10,7917
MSCFK7B5R4JMNP,301005,Grooming,Korean Essence,Facewash,2023-09-12,FBF,ulub_bts,2,942,0,0,0,0,2,942
MSCGZJ9XAHCC7J,301005,Grooming,Pure Care,FaceCreamAndGel,2023-08-12,FBF,malur_bts,4,3201,0,0,0,0,4,3201
CNRG9PSTGWCHZ6,301005,Grooming,Glow Glisten,FaceCreamAndGel,2023-11-18,FBF,gur_san_wh_nl_01nl,4,3213,0,0,0,0,4,3213
LSQFH9X4PHGNHX,301005,Grooming,Korean Essence,Sunscreen,2024-05-03,NON_FBF,LOCee351ee44b0e404cadbd2615fe822e76,1,961,0,0,0,0,1,961
CNRG988K8WNZQE,301005,Grooming,Korean Essence,FacePack,2024-05-24,FBF,ulub_bts,9,3161,3,1055,0,0,6,2106
BSTGZJRSJH2KRR,301005,Grooming,Korean Essence,Sunscreen,2023-08-29,FBF,malur_bts,1,954,0,0,0,0,1,954
FCWGZJSEF6CBCZ,301005,Grooming,Korean Essence,FaceCreamAndGel,2023-09-13,FBF,bhi_vas_wh_nl_01nl,2,1538,0,0,0,0,2,1538
CNRGM7F3WQCUSP,301002,Grooming,Glow Glisten,Facewash,2024-04-12,FBF,gur_san_wh_nl_01nl,3,1414,1,470,0,0,2,944
CNRGM7F3WQCUSP,301005,Grooming,Glow Glisten,FacePack,2023-11-16,NON_FBF,LOCee351ee44b0e404cadbd2615fe822e76,1,713,1,713,0,0,0,0
BSTF46864DSAXW,301002,Grooming,Glow Glisten,Toner,2024-04-08,FBF,gur_san_wh_nl_01nl,4,3070,2,1535,0,0,2,1535
MSCFEV8EGHRK3R,TFSCOM,Grooming,Korean Essence,BodyLotion,2024-04-24,NON_FBF,LOCcc23232f860c4cbb862e3a5cbe834972,1,1159,0,0,0,0,1,1159
CNRG6PYZZ27WWF,301001,Grooming,Korean Essence,Lipstain,2023-12-22,NON_FBF,LOCee351ee44b0e404cadbd2615fe822e76,1,504,1,504,0,0,0,0
FCWGZJSEF6CBCZ,301005,Grooming,Korean Essence,Facewash,2023-12-13,FBF,malur_bts,6,4749,0,0,0,0,6,4749
FCPG6S9VGDMHGZ,301005,Grooming,Essential Glow,Facewash,2024-04-20,FBF,gur_san_wh_nl_01nl,2,1578,0,0,0,0,2,1578
FCTF85QYX7B3SG,301005,Grooming,Korean Essence,FaceCreamAndGel,2023-09-30,FBF,bhi_vas_wh_nl_01nl,1,874,0,0,0,0,1,874
BSTF46864DSAXW,301005,Grooming,Glow Glisten,Lipstain,2024-01-19,NON_FBF,LOCee351ee44b0e404cadbd2615fe822e76,3,1505,0,0,0,0,3,1505
MSCFEV8E7HN4SZ,301002,Grooming,Korean Essence,ComboAndKit,2023-08-28,NON_FBF,LOCcc23232f860c4cbb862e3a5cbe834972,1,770,1,770,0,0,0,0
BSTGZJRSJH2KRR,301005,Grooming,Korean Essence,Toner,2023-08-05,FBF,gur_san_wh_nl_01nl,8,6148,3,2316,0,0,5,3832
LSQFH9X4PHGNHX,301005,Grooming,Korean Essence,Facewash,2024-01-26,FBF,malur_bts,39,12486,2,628,0,0,37,11858
FCPG6S9VGDMHGZ,301002,Grooming,Essential Glow,FaceCreamAndGel,2023-11-11,FBF,ulub_bts,8,6414,1,801,0,0,7,5613
BSTF4686BGAYCA,301002,Grooming,Pure Care,Facewash,2023-09-14,FBF,gur_san_wh_nl_01nl,4,1336,0,0,0,0,4,1336
FCPGK22NPBUVAX,301005,Grooming,Korean Essence,FaceCreamAndGel,2024-02-15,FBF,ulub_bts,2,1773,0,0,0,0,2,1773
BSTF4686BGAYCA,301005,Grooming,Pure Care,FaceCreamAndGel,2023-10-12,FBF,ulub_bts,2,1803,0,0,0,0,2,1803
MSCFEV8E7HN4SZ,301005,Grooming,Korean Essence,Facewash,2023-09-01,FBF,ulub_bts,33,15514,4,1886,0,0,29,13628
CNRG6PYZZ27WWF,301005,Grooming,Korean Essence,FaceCreamAndGel,2023-07-13,FBF,gur_san_wh_nl_01nl,1,799,0,0,0,0,1,799
SNRG6RN8ARHCKP,301005,Grooming,Korean Essence,FacePack,2024-03-29,NON_FBF,LOCee351ee44b0e404cadbd2615fe822e76,1,450,0,0,0,0,1,450
CNRG9PSTGWCHZ6,301005,Grooming,Glow Glisten,Toner,2023-11-24,FBF,bhi_vas_wh_nl_01nl,2,1535,0,0,0,0,2,1535
BSTF46864DSAXW,301005,Grooming,Glow Glisten,FaceCreamAndGel,2023-06-14,FBF,ulub_bts,2,1608,1,804,0,0,1,804
MSCFHCF2EVWSGQ,301005,Grooming,Korean Essence,Facewash,2023-12-02,NON_FBF,LOCee351ee44b0e404cadbd2615fe822e76,4,1595,2,798,0,0,2,797
SNRG6RZGFKDRYA,301005,Grooming,Korean Essence,FaceCreamAndGel,2024-03-11,FBF,malur_bts,4,3511,1,904,0,0,3,2607
LSQFH9X4HVS2GN,301005,Grooming,Korean Essence,Facewash,2023-05-07,FBF,bhi_vas_wh_nl_01nl,1,467,0,0,0,0,1,467
TNRG5EHBBNMGTV,301005,Grooming,Pure Care,Facewash,2023-12-06,FBF,ulub_bts,19,6114,3,972,0,0,16,5142
MSCG7UHRBS3WVJ,301005,Grooming,Korean Essence,Facewash,2023-06-01,FBF,bhi_vas_wh_nl_01nl,51,23945,10,4706,1,472,40,18767
MSCFEV8EGHRK3R,301005,Grooming,Korean Essence,FaceCreamAndGel,2024-01-04,FBF,malur_bts,1,899,0,0,0,0,1,899
CBKGUSXGVEDS79,301005,Grooming,Glow Glisten,ComboAndKit,2023-06-10,FBF,malur_bts,3,2167,1,724,0,0,2,1443
FCPGENY4QZDMZE,301005,Grooming,Pure Care,Facewash,2024-05-03,FBF,bhi_vas_wh_nl_01nl,1,470,1,470,0,0,0,0
MSCGZJ9XAHCC7J,301005,Grooming,Pure Care,FaceCreamAndGel,2023-11-16,FBF,ulub_bts,2,1738,0,0,0,0,2,1738
MSCFGG6FGXPGAD,301005,Grooming,Pure Care,FaceCreamAndGel,2023-08-06,FBF,gur_san_wh_nl_01nl,4,3209,0,0,0,0,4,3209
FCPGK22NPBUVAX,301005,Grooming,Korean Essence,FacePack,2023-11-24,FBF,malur_bts,1,500,0,0,0,0,1,500
MSCFHCF2EVWSGQ,301005,Grooming,Korean Essence,FaceCreamAndGel,2023-10-10,FBF,bhi_vas_wh_nl_01nl,1,869,0,0,0,0,1,869
FCPG6PCBCDZF5H,301005,Grooming,Korean Essence,FaceCreamAndGel,2023-12-05,FBF,gur_san_wh_nl_01nl,2,1753,0,0,0,0,2,1753
MSCFK7B5R4JMNP,301002,Grooming,Korean Essence,FaceCreamAndGel,2023-05-26,FBF,ulub_bts,1,1445,0,0,0,0,1,1445
CBKGUHMEPQPUJX,301002,Grooming,Korean Essence,FaceCreamAndGel,2024-04-11,FBF,ulub_bts,2,1578,1,774,0,0,1,804
SNRG6RQMXHDFTX,301005,Grooming,Korean Essence,Facewash,2023-10-08,FBF,ulub_bts,20,9416,3,1416,0,0,17,8000
FCPGENY3TRMXFT,301005,Grooming,Korean Essence,ComboAndKit,2024-04-04,FBF,gur_san_wh_nl_01nl,5,3613,1,725,0,0,4,2888
BSTF46864DSAXW,301005,Grooming,Glow Glisten,FacePack,2024-05-09,FBF,malur_bts,2,700,1,350,0,0,1,350
MSCFGG6FGXPGAD,301002,Grooming,Pure Care,FaceCreamAndGel,2024-02-19,FBF,malur_bts,1,799,0,0,0,0,1,799
SNRG6RN8ARHCKP,301002,Grooming,Korean Essence,Facewash,2023-05-17,NON_FBF,LOCcc23232f860c4cbb862e3a5cbe834972,1,1733,0,0,0,0,1,1733
LSQFH9X4HVS2GN,301002,Grooming,Korean Essence,FacePack,2024-03-23,NON_FBF,LOCcc23232f860c4cbb862e3a5cbe834972,1,560,1,560,0,0,0,0
MSCFEV8EGHRK3R,301005,Grooming,Korean Essence,Sunscreen,2023-06-22,FBF,malur_bts,1,970,1,970,0,0,0,0
CBKGHHUPJWXZQZ,301005,Grooming,Korean Essence,ComboAndKit,2024-04-22,FBF,gur_san_wh_nl_01nl,1,694,0,0,0,0,1,694
BSTF46864DSAXW,301005,Grooming,Glow Glisten,ComboAndKit,2024-01-22,FBF,malur_bts,3,2169,2,1450,0,0,1,719
CBKGHHUPJWXZQZ,301005,Grooming,Korean Essence,FaceCreamAndGel,2024-04-25,FBF,gur_san_wh_nl_01nl,3,2640,0,0,0,0,3,2640
CNRG6PYZZ27WWF,301002,Grooming,Korean Essence,FaceCreamAndGel,2024-03-15,FBF,ulub_bts,4,3214,1,804,0,0,3,2410
FCPGENY4MY2WHF,301005,Grooming,Essential Glow,Facewash,2023-05-08,FBF,ulub_bts,21,9878,4,1884,0,0,17,7994
BSTF4686BGAYCA,301005,Grooming,Pure Care,Toner,2024-03-30,FBF,ulub_bts,4,3082,3,2313,0,0,1,769
LSQFH9X4PHGNHX,301005,Grooming,Korean Essence,ComboAndKit,2023-08-20,FBF,gur_san_wh_nl_01nl,1,719,0,0,0,0,1,719
FCPGK23TZRJFHC,301005,Grooming,Glow Glisten,FaceCreamAndGel,2023-12-17,FBF,gur_san_wh_nl_01nl,7,5610,3,2399,0,0,4,3211
CNRGK5GYKRBPCN,301002,Grooming,Pure Care,FaceCreamAndGel,2023-10-22,FBF,malur_bts,2,2890,0,0,0,0,2,2890
SNRG6RQMXHDFTX,301005,Grooming,Korean Essence,Facewash,2024-04-17,FBF,ulub_bts,3,2382,3,2382,0,0,0,0
CNRG9YVQ2EFJAP,301005,Grooming,Pure Care,Facewash,2023-05-08,FBF,malur_bts,23,10812,0,0,0,0,23,10812
FCPG6PCBCDZF5H,301005,Grooming,Korean Essence,FaceCreamAndGel,2023-09-30,FBF,malur_bts,1,806,0,0,0,0,1,806
MSCFGG6FGXPGAD,301005,Grooming,Pure Care,Facewash,2023-08-29,FBF,bhi_vas_wh_nl_01nl,16,7494,0,0,0,0,16,7494
SNRG6RN8ARHCKP,TFSCOM,Grooming,Korean Essence,Toner,2024-04-27,FBF,ulub_bts,1,1592,0,0,0,0,1,1592
SNRG6RN8ARHCKP,301005,Grooming,Korean Essence,FaceCreamAndGel,2024-02-09,FBF,gur_san_wh_nl_01nl,5,4505,0,0,0,0,5,4505
MSCFHCF2EVWSGQ,301002,Grooming,Korean Essence,Facewash,2023-10-06,FBF,malur_bts,37,17357,8,3767,0,0,29,13590
CNRGM7F3WQCUSP,301002,Grooming,Glow Glisten,FacePack,2023-12-17,FBF,malur_bts,2,680,1,325,0,0,1,355
LSQFH9X4PHGNHX,301005,Grooming,Korean Essence,FacePack,2023-10-30,FBF,ulub_bts,11,3674,5,1656,0,0,6,2018
FCPFAYHNSCAG3D,301005,Grooming,Glow Glisten,ComboAndKit,2024-01-07,NON_FBF,LOCcc23232f860c4cbb862e3a5cbe834972,1,1310,1,1310,0,0,0,0
TNRFEV8EJ8NF3Y,301005,Grooming,Glow Glisten,Facewash,2023-11-24,FBF,ulub_bts,12,5620,3,1412,0,0,9,4208
FCWGSUVATDETNT,301005,Grooming,Korean Essence,FaceCreamAndGel,2023-07-25,FBF,ulub_bts,1,906,0,0,0,0,1,906
CNRGK5GYKRBPCN,301005,Grooming,Pure Care,FaceCreamAndGel,2023-08-13,FBF,gur_san_wh_nl_01nl,4,3211,1,804,0,0,3,2407
FCWGZJSEF6CBCZ,TFSCOM,Grooming,Korean Essence,Facewash,2023-07-30,FBF,gur_san_wh_nl_01nl,1,789,0,0,0,0,1,789
MSCGZJ9XAHCC7J,301005,Grooming,Pure Care,FaceCreamAndGel,2024-01-14,FBF,bhi_vas_wh_nl_01nl,1,804,0,0,0,0,1,804
BSTF46864DSAXW,301005,Grooming,Glow Glisten,SkinTreatment,2023-10-18,FBF,ulub_bts,2,823,0,0,0,0,2,823
SNRG6RZYFAKZXH,301005,Grooming,Korean Essence,Toner,2023-07-27,FBF,malur_bts,5,3836,0,0,0,0,5,3836
SNRG6RZYFAKZXH,301005,Grooming,Korean Essence,FaceCreamAndGel,2024-03-02,FBF,ulub_bts,1,1445,0,0,0,0,1,1445
CNRGM7F3WQCUSP,301005,Grooming,Glow Glisten,Facewash,2023-09-21,FBF,ulub_bts,1,443,0,0,0,0,1,443
FCPG6S9VGDMHGZ,301005,Grooming,Essential Glow,Toner,2023-06-26,FBF,ulub_bts,5,3835,0,0,0,0,5,3835
FCPGENY4QZDMZE,301005,Grooming,Pure Care,FaceCreamAndGel,2023-12-01,NON_FBF,LOCcc23232f860c4cbb862e3a5cbe834972,1,1799,0,0,0,0,1,1799
CNRG9YVQ2EFJAP,301002,Grooming,Pure Care,Facewash,2023-10-28,FBF,gur_san_wh_nl_01nl,1,440,0,0,0,0,1,440
FCPFAYHNSCAG3D,301005,Grooming,Glow Glisten,Toner,2024-03-08,FBF,gur_san_wh_nl_01nl,5,3842,1,770,0,0,4,3072
MSCFK7B5R4JMNP,301005,Grooming,Korean Essence,FaceCreamAndGel,2023-08-16,FBF,malur_bts,1,899,0,0,0,0,1,899
LSQFH9X4HVS2GN,301005,Grooming,Korean Essence,FacePack,2023-08-28,FBF,ulub_bts,10,3277,1,355,0,0,9,2922
MSCG7UHRBS3WVJ,301002,Grooming,Korean Essence,Facewash,2023-06-17,FBF,bhi_vas_wh_nl_01nl,1,472,0,0,0,0,1,472
MSCGZJ9XAHCC7J,301005,Grooming,Pure Care,Facewash,2023-08-15,NON_FBF,LOCee351ee44b0e404cadbd2615fe822e76,26,10235,4,1584,0,0,22,8651
BSTGZJRSJH2KRR,301005,Grooming,Korean Essence,Facewash,2023-12-02,FBF,ulub_bts,1,339,0,0,0,0,1,339
FCPGENY4QZDMZE,301005,Grooming,Pure Care,Facewash,2023-07-28,FBF,ulub_bts,17,7987,1,470,0,0,16,7517
FCPGENY4QZDMZE,TFSCOM,Grooming,Pure Care,Lipstain,2023-12-21,NON_FBF,LOCcc23232f860c4cbb862e3a5cbe834972,1,499,0,0,0,0,1,499
SNRG6RQMXHDFTX,301002,Grooming,Korean Essence,FacePack,2023-08-18,NON_FBF,LOCee351ee44b0e404cadbd2615fe822e76,1,376,0,0,0,0,1,376
TNRFEV8EJ8NF3Y,TFSCOM,Grooming,Glow Glisten,FaceCreamAndGel,2023-05-07,FBF,malur_bts,3,2674,1,906,0,0,2,1768
SNRG6RN8ARHCKP,301005,Grooming,Korean Essence,Facewash,2023-10-25,FBF,ulub_bts,21,6701,1,344,0,0,20,6357
BSTF4686BGAYCA,TFSCOM,Grooming,Pure Care,Toner,2024-04-08,FBF,malur_bts,3,2310,1,770,0,0,2,1540
MSCG7UHRBS3WVJ,301005,Grooming,Korean Essence,FaceCreamAndGel,2023-12-19,FBF,gur_san_wh_nl_01nl,2,1805,0,0,0,0,2,1805
CBKGUSXGVEDS79,301005,Grooming,Glow Glisten,FaceCreamAndGel,2023-06-04,FBF,gur_san_wh_nl_01nl,3,2408,1,804,0,0,2,1604
FCPGK22NPBUVAX,301005,Grooming,Korean Essence,Facewash,2024-01-02,FBF,gur_san_wh_nl_01nl,2,885,0,0,0,0,2,885
LSQFH9X4HVS2GN,TFSCOM,Grooming,Korean Essence,FacePack,2023-06-16,NON_FBF,LOCcc23232f860c4cbb862e3a5cbe834972,1,410,1,410,0,0,0,0
FCWGZJSEF6CBCZ,301005,Grooming,Korean Essence,FaceCreamAndGel,2023-09-10,FBF,bhi_vas_wh_nl_01nl,2,1608,1,804,0,0,1,804
CBKGHHUPJWXZQZ,301005,Grooming,Korean Essence,Facewash,2024-03-26,FBF,bhi_vas_wh_nl_01nl,41,19227,2,944,0,0,39,18283
FCWGZJSEF6CBCZ,301005,Grooming,Korean Essence,Facewash,2024-01-22,FBF,gur_san_wh_nl_01nl,2,1578,0,0,0,0,2,1578
FCPGK23TZRJFHC,301005,Grooming,Glow Glisten,FacePack,2023-05-14,FBF,malur_bts,2,645,0,0,0,0,2,645
LSQFH9X4PHGNHX,301005,Grooming,Korean Essence,FaceCreamAndGel,2023-10-18,FBF,ulub_bts,2,1773,1,874,0,0,1,899
FCWGZJSEF6CBCZ,301005,Grooming,Korean Essence,Facewash,2024-04-11,FBF,gur_san_wh_nl_01nl,2,1583,0,0,0,0,2,1583
CNRF457W8PSGQZ,301005,Grooming,Korean Essence,Facewash,2024-03-27,FBF,malur_bts,3,2377,0,0,0,0,3,2377
ECMFEV8E4EGG2H,301005,Grooming,Korean Essence,SkinTreatment,2024-05-18,NON_FBF,LOCee351ee44b0e404cadbd2615fe822e76,2,978,0,0,0,0,2,978
FCWGZJSGSS4M5G,301005,Grooming,Korean Essence,SkinTreatment,2024-04-23,FBF,malur_bts,4,1636,0,0,0,0,4,1636
CNRGM7F3WQCUSP,TFSCOM,Grooming,Glow Glisten,Facewash,2024-03-17,FBF,malur_bts,28,9064,1,314,0,0,27,8750
CNRGK5GYKRBPCN,TFSCOM,Grooming,Pure Care,Toner,2023-12-14,FBF,ulub_bts,6,4609,2,1540,0,0,4,3069
FCTF85QYX7B3SG,301003,Grooming,Korean Essence,Facewash,2024-01-05,FBF,ulub_bts,2,885,0,0,0,0,2,885
MSCG7UHRBS3WVJ,301003,Grooming,Korean Essence,Toner,2023-06-26,FBF,malur_bts,3,2305,2,1535,0,0,1,770
SNRG6RQMXHDFTX,301005,Grooming,Korean Essence,FaceCreamAndGel,2023-12-03,FBF,ulub_bts,7,5610,0,0,0,0,7,5610
CNRF457W8PSGQZ,301005,Grooming,Korean Essence,Toner,2024-02-17,FBF,gur_san_wh_nl_01nl,5,3848,2,1543,0,0,3,2305
SNRG6RQMXHDFTX,301005,Grooming,Korean Essence,Facewash,2024-02-27,FBF,malur_bts,21,9839,4,1869,0,0,17,7970
SNRG6RZGFKDRYA,301005,Grooming,Korean Essence,FaceCreamAndGel,2023-05-01,FBF,gur_san_wh_nl_01nl,5,4005,0,0,0,0,5,4005
FCPGENY4MY2WHF,301005,Grooming,Essential Glow,Facewash,2024-04-27,FBF,gur_san_wh_nl_01nl,2,880,0,0,0,0,2,880
FCWGZJSEF6CBCZ,301005,Grooming,Korean Essence,Facewash,2024-04-06,FBF,malur_bts,40,18696,7,3278,0,0,33,15418
CBKGUSXGVEDS79,301005,Grooming,Glow Glisten,SkinTreatment,2023-09-11,FBF,malur_bts,4,1766,1,444,0,0,3,1322
FCPGK22NPBUVAX,301005,Grooming,Korean Essence,SkinTreatment,2024-04-03,FBF,ulub_bts,1,1975,0,0,0,0,1,1975
CNRGK5GYKRBPCN,301002,Grooming,Pure Care,Facewash,2023-09-10,FBF,malur_bts,34,10824,4,1288,0,0,30,9536
MSCG7UHRBS3WVJ,301005,Grooming,Korean Essence,FacePack,2023-05-19,FBF,ulub_bts,4,2015,0,0,0,0,4,2015
MSCFEV8EGHRK3R,TFSCOM,Grooming,Korean Essence,Facewash,2024-03-19,FBF,ulub_bts,2,1588,1,794,0,0,1,794
ECMFEV8E4EGG2H,301005,Grooming,Korean Essence,Facewash,2023-09-30,FBF,ulub_bts,20,9364,2,942,0,0,18,8422
LSQFH9X4PHGNHX,301005,Grooming,Korean Essence,FacePack,2023-08-16,FBF,ulub_bts,8,2636,2,646,0,0,6,1990
FCWGSUVATDETNT,301005,Grooming,Korean Essence,FaceCreamAndGel,2023-09-10,FBF,gur_san_wh_nl_01nl,1,1445,0,0,0,0,1,1445
TNRFEV8FYNRFZJ,301005,Grooming,Essential Glow,FaceCreamAndGel,2023-12-30,FBF,ulub_bts,5,4010,1,804,0,0,4,3206
CBKGHHUPJWXZQZ,TFSCOM,Grooming,Korean Essence,FacePack,2024-05-09,NON_FBF,LOCcc23232f860c4cbb862e3a5cbe834972,2,1115,0,0,0,0,2,1115
MSCG7UHRBS3WVJ,301003,Grooming,Korean Essence,Facewash,2023-11-17,FBF,ulub_bts,1,794,0,0,0,0,1,794
SNRG6RQMXHDFTX,TFSCOM,Grooming,Korean Essence,ComboAndKit,2023-07-24,FBF,malur_bts,3,2107,0,0,0,0,3,2107
SNRG6RN8ARHCKP,301002,Grooming,Korean Essence,FaceCreamAndGel,2024-04-01,FBF,gur_san_wh_nl_01nl,2,1598,0,0,0,0,2,1598
FCPG6S9VGDMHGZ,301005,Grooming,Essential Glow,Facewash,2024-01-11,FBF,ulub_bts,22,7045,4,1283,0,0,18,5762
FCWGZJSEF6CBCZ,301005,Grooming,Korean Essence,Facewash,2024-04-23,FBF,gur_san_wh_nl_01nl,1,789,0,0,0,0,1,789
CBKGUHMEPQPUJX,TFSCOM,Grooming,Korean Essence,FaceCreamAndGel,2024-01-17,FBF,malur_bts,4,3606,0,0,0,0,4,3606
