Year of Order Date,Quarter of Order Date,Month of Order Date,Day of Order Date,Final date,Sku,SKU Name,Brand Name,Canonical L1,Canonical L2,Canonical L3,Quantity,
2022,Q2,9,7,07-Sep-22,88018228,SPF 30 PA++ Ultra Matte Sunscreen with Vitamin B3,Pure Care,,,,1,
2022,Q2,9,7,07-Sep-22,88018232, 1% Hyaluronic Sunscreen Aqua Gel With Spf 50,Korean Essence,Skin,Moisturisers,Face Moisturizers,7,
2022,Q2,9,7,07-Sep-22,88018220, Baby Face Smoothing Peel Off Mask,Pure Care,Skin,Kits & Combos,Combos @ Nykaa,4,
2022,Q2,9,7,07-Sep-22,88036460,Himalaya Rich Cocoa Butter Body Cream,Korean Essence,Skin,Moisturizers,Serums & Essence,6,
2022,Q2,9,7,07-Sep-22,THEA0041,Lava Pore Essence,Korean Essence,Skin,Cleansers,Cleanser,3,
2022,Q2,9,7,07-Sep-22,THEA0038,Vitamin C body lotion,Korean Essence,Skin,Shop Toners & Mists,Toners & Mists,5,
2022,Q2,9,7,07-Sep-22,88018220, Baby Face Smoothing Peel Off Mask,Pure Care,Bath & Body,Hands & Feet,Foot Care,6,
2022,Q2,9,7,07-Sep-22,88036460,Himalaya Rich Cocoa Butter Body Cream,Korean Essence,Skin,Moisturizers,Face Moisturizer & Day Cream,1,
2022,Q2,9,7,07-Sep-22,88018213,Optimal Hydration Body Lotion With Hyaluronic Acid+Vitamin E,Korean Essence,Skin,Masks,Masks & Peels,14,
2022,Q2,9,7,07-Sep-22,88018251,Peach Milk Moisturizer ,Pure Care,Makeup,Face,Makeup Remover,58,
2022,Q2,9,8,08-Sep-22,88036460,Himalaya Rich Cocoa Butter Body Cream,Korean Essence,Skin,Masks & Treatment,Sheetmask,71,
2022,Q2,9,8,08-Sep-22,88018287, 3 Step Routine For Normal Skin,Korean Essence,Skin,Serums,Serums,3,
2022,Q2,9,8,08-Sep-22,THEA0045, Working Women Kit_V2,Korean Essence,Makeup,Lips,Lip Stain,8,
2022,Q2,9,8,08-Sep-22,THEA0014,Carbon blackhead Mask,Glow Glisten,Makeup,Lips,Lip Stain,5,
2022,Q2,9,8,08-Sep-22,88018269,Sun SPF 50 Light Gel,Glow Glisten,Skin,Skin Kits & Combos,Skin Kits,1,
2022,Q2,9,8,08-Sep-22,88018251,Peach Milk Moisturizer ,Pure Care,Skin,Moisturisers,Face Moisturizers,4,
2022,Q2,9,8,08-Sep-22,88018225,Anti Ageing Kit,Korean Essence,Skin,Cleansers,Cleanser,10,
2022,Q2,9,8,08-Sep-22,88018212, Glow glisten  Water Essence,Glow Glisten,Skin,Moisturizers,Face Moisturizer & Day Cream,61,
2022,Q2,9,8,08-Sep-22,88018201,Spa Headband,Pure Care,Skin,Cleansers,Cleanser,12,
2022,Q2,9,8,08-Sep-22,88018299,Anti-Ageing Sleeping Mask Revitalize Skin texture,Korean Essence,Skin,Masks,Sheet Masks,215,
2022,Q2,9,8,08-Sep-22,88018217, 5 Step Routine For Oily Skin,Pure Care,Bath & Body,Hands & Feet,Hand Creams & Masks,5,
2022,Q2,9,8,08-Sep-22,THEA0012,Radiance Brightening Day Cream,Pure Care,Skin,Moisturizers,Face Moisturizer & Day Cream,65,
2022,Q2,9,8,08-Sep-22,88018294, Duet Gentle Cleanse,Korean Essence,Skin,Shop Toners & Mists,Toners & Mists,2,
2022,Q2,9,8,08-Sep-22,88018229,Gold Glass Face Oil for Skin Brightening Anti-Ageing,Korean Essence,Skin,Moisturizers,Face Moisturizer & Day Cream,4,
2022,Q2,9,8,08-Sep-22,88018217, 5 Step Routine For Oily Skin,Pure Care,Skin,Masks,Sheet Masks,57,
2022,Q2,9,8,08-Sep-22,88018239,Pure Care Double Cleanse,Pure Care,Skin,Cleansers,Cleanser,3,
2022,Q2,9,8,08-Sep-22,88018283, Shampoo For Damaged Hair,Korean Essence,Skin,Cleansers,Face Wash,168,
2022,Q2,9,8,08-Sep-22,88018263,Serum-n-Cream 30ml,Essential Glow,Skin,Shop Toners & Mists,Toners & Mists,2,
2022,Q2,9,9,09-Sep-22,THEA0012,Radiance Brightening Day Cream,Pure Care,Makeup,Lips,Lip Stain,5,
2022,Q2,9,9,09-Sep-22,88018212, Glow glisten  Water Essence,Glow Glisten,Skin,Sun Care,Face Sunscreen,2,
2022,Q2,9,9,09-Sep-22,88018201,Spa Headband,Pure Care,Skin,Cleansers,Scrubs & Exfoliators,14,
2022,Q2,9,9,09-Sep-22,88018269,Sun SPF 50 Light Gel,Glow Glisten,Skin,Cleansers,Face Wash,2,
2022,Q2,9,9,09-Sep-22,88018275,Men Hydrating Emulsion,Korean Essence,Skin,Kits & Combos,Combos @ Nykaa,10,
2022,Q2,9,9,09-Sep-22,88018268, Advance Ultra Hydrating Lotion With Shea Butter & Niacinamide,Glow Glisten,Skin,Masks,Sheet Masks,218,
2022,Q2,9,9,09-Sep-22,88018229,Gold Glass Face Oil for Skin Brightening Anti-Ageing,Korean Essence,Skin,Eye Care,Under Eye Cream & Serums,4,
2022,Q2,9,9,09-Sep-22,88018217, 5 Step Routine For Oily Skin,Pure Care,Skin,Masks,Sheet Masks,18,
2022,Q2,9,9,09-Sep-22,88018239,Pure Care Double Cleanse,Pure Care,Skin,Masks,Masks & Peels,4,
2022,Q2,9,9,09-Sep-22,88018232, 1% Hyaluronic Sunscreen Aqua Gel With Spf 50,Korean Essence,Skin,Masks,Masks & Peels,6,
2022,Q2,9,9,09-Sep-22,THEA0041,Lava Pore Essence,Korean Essence,Skin,Cleansers,Scrubs & Exfoliators,6,
2022,Q2,9,9,09-Sep-22,88018220, Baby Face Smoothing Peel Off Mask,Pure Care,Skin,Masks,Masks & Peels,11,
2022,Q2,9,9,09-Sep-22,88018212, Glow glisten  Water Essence,Glow Glisten,Skin,Masks,Sheet Masks,54,
2022,Q2,9,9,09-Sep-22,88018205,Hyaluron Moisture Shampoo With Hyaluronic Acid,Korean Essence,Skin,Masks,Sheet Masks,37,
2022,Q2,9,9,09-Sep-22,88018280,Collagen Volume Lifting Serum,Korean Essence,Skin,Kits & Combos,Combos @ Nykaa,1,
2022,Q2,9,9,09-Sep-22,88018294, Duet Gentle Cleanse,Korean Essence,Bath & Body,Hands & Feet,Foot Care,3,
2022,Q2,9,9,09-Sep-22,THEA0038,Vitamin C body lotion,Korean Essence,Skin,Masks,Masks & Peels,2,
2022,Q2,9,9,09-Sep-22,88018237,Work-desk essentials,Essential Glow,Skin,Moisturizers,Serums & Essence,101,
2022,Q2,9,10,10-Sep-22,THEA0045, Working Women Kit_V2,Korean Essence,Skin,Masks & Treatment,Sheetmask,26,
2022,Q2,9,10,10-Sep-22,88018229,Gold Glass Face Oil for Skin Brightening Anti-Ageing,Korean Essence,Skin,Masks & Treatment,Sheetmask,32,
2022,Q2,9,10,10-Sep-22,88018265,Vitamin C Sleeping Mask,Korean Essence,Makeup,Face,Makeup Remover,3,
2022,Q2,9,10,10-Sep-22,88018263,Serum-n-Cream 30ml,Essential Glow,Skin,Moisturizers,Serums & Essence,2,
2022,Q2,9,10,10-Sep-22,88018225,Anti Ageing Kit,Korean Essence,Skin,Kits & Combos,Combos @ Nykaa,1,
2022,Q2,9,10,10-Sep-22,88018220, Baby Face Smoothing Peel Off Mask,Pure Care,Skin,Cleansers,Cleanser,4,
2022,Q2,9,10,10-Sep-22,88018229,Gold Glass Face Oil for Skin Brightening Anti-Ageing,Korean Essence,Skin,Cleansers,Cleanser,1,
2022,Q2,9,10,10-Sep-22,88018220, Baby Face Smoothing Peel Off Mask,Pure Care,Skin,Masks,Sheet Masks,40,
2022,Q2,9,10,10-Sep-22,THEA0012,Radiance Brightening Day Cream,Pure Care,Skin,Masks,Masks & Peels,2,
2022,Q2,9,10,10-Sep-22,88018225,Anti Ageing Kit,Korean Essence,Makeup,Lips,Lip Tint,1,
2022,Q2,9,10,10-Sep-22,88018263,Serum-n-Cream 30ml,Essential Glow,Makeup,Lips,Lip Stain,4,
2022,Q2,9,10,10-Sep-22,88018201,Spa Headband,Pure Care,Skin,Cleansers,Face Wash,2,
2022,Q2,9,10,10-Sep-22,88018212, Glow glisten  Water Essence,Glow Glisten,Skin,Masks,Sheet Masks,137,
2022,Q2,9,11,11-Sep-22,88018265,Vitamin C Sleeping Mask,Korean Essence,Skin,Serums,Serums,2,
2022,Q2,9,11,11-Sep-22,88018232, 1% Hyaluronic Sunscreen Aqua Gel With Spf 50,Korean Essence,Skin,Eye Care,Eye Serums & Creams,1,
2022,Q2,9,11,11-Sep-22,88018225,Anti Ageing Kit,Korean Essence,Makeup,Face,Makeup Remover,3,
2022,Q2,9,11,11-Sep-22,THEA0083,"Vitamin B5, Oil-Free Moisturizer With Zinc",Glow Glisten,Skin,Moisturizers,Face Moisturizer & Day Cream,6,
2022,Q2,9,11,11-Sep-22,THEA0017,Antioxidant Hydro Serum,Korean Essence,Skin,Moisturizers,Face Moisturizer & Day Cream,6,
2022,Q2,9,11,11-Sep-22,88018299,Anti-Ageing Sleeping Mask Revitalize Skin texture,Korean Essence,Skin,Masks,Sheet Masks,18,
2022,Q2,9,11,11-Sep-22,88018228,SPF 30 PA++ Ultra Matte Sunscreen with Vitamin B3,Pure Care,Skin,Moisturizers,Face Moisturizer & Day Cream,145,
2022,Q2,9,11,11-Sep-22,88018226, Towel - Scrunchie,Korean Essence,Skin,Masks,Masks Peels,9,
2022,Q2,9,11,11-Sep-22,88018226, Towel - Scrunchie,Korean Essence,Makeup,Lips,Lip Tint,9,
2022,Q2,9,11,11-Sep-22,88036460,Himalaya Rich Cocoa Butter Body Cream,Korean Essence,Makeup,Face,Makeup Remover,73,
2022,Q2,9,11,11-Sep-22,THEA0040,Tote bag ,Essential Glow,Makeup,Eyes,Eye Brow Enhancers,1,
2022,Q2,9,11,11-Sep-22,88018229,Gold Glass Face Oil for Skin Brightening Anti-Ageing,Korean Essence,Skin,Masks,Masks & Peels,5,
2022,Q2,9,11,11-Sep-22,88018229,Gold Glass Face Oil for Skin Brightening Anti-Ageing,Korean Essence,Skin,Cleansers,Scrubs & Exfoliators,11,
2022,Q2,9,11,11-Sep-22,88018280,Collagen Volume Lifting Serum,Korean Essence,Skin,Sun Care,Face Sunscreen,2,
2022,Q2,9,12,12-Sep-22,88018220, Baby Face Smoothing Peel Off Mask,Pure Care,Skin,Sun Care,Face Sunscreen,6,
2022,Q2,9,12,12-Sep-22,88018265,Vitamin C Sleeping Mask,Korean Essence,Skin,Cleansers,Cleanser,87,
2022,Q2,9,12,12-Sep-22,88018242,D-Tan Removal Coffee Clay Face Mask ,Korean Essence,Makeup,Makeup Kits & Combos,Makeup Kits,8,
2022,Q2,9,12,12-Sep-22,88018242,D-Tan Removal Coffee Clay Face Mask ,Korean Essence,Skin,Sun Care,Face Sunscreen,6,
2022,Q2,9,12,12-Sep-22,88018275,Men Hydrating Emulsion,Korean Essence,Skin,Masks,Sheet Masks,21,
2022,Q2,9,12,12-Sep-22,THEA0014,Carbon blackhead Mask,Glow Glisten,Skin,Moisturizers,Face Moisturizer & Day Cream,3,
2022,Q2,9,12,12-Sep-22,88036460,Himalaya Rich Cocoa Butter Body Cream,Korean Essence,Skin,Kits & Combos,Combos @ Nykaa,56,
2022,Q2,9,12,12-Sep-22,88036460,Himalaya Rich Cocoa Butter Body Cream,Korean Essence,Makeup,Lips,Lip Tint,2,
2022,Q2,9,12,12-Sep-22,88018212, Glow glisten  Water Essence,Glow Glisten,Skin,Cleansers,Cleanser,3,
2022,Q2,9,12,12-Sep-22,88018242,D-Tan Removal Coffee Clay Face Mask ,Korean Essence,Skin,Kits & Combos,Combos @ Nykaa,1,
2022,Q2,9,12,12-Sep-22,88018237,Work-desk essentials,Essential Glow,Skin,Masks,Masks & Peels,2,
2022,Q2,9,12,12-Sep-22,88018225,Anti Ageing Kit,Korean Essence,Skin,Kits & Combos,Gift Sets,1,
2022,Q2,9,13,13-Sep-22,88018213,Optimal Hydration Body Lotion With Hyaluronic Acid+Vitamin E,Korean Essence,Skin,Masks & Treatment,Masks,12,
2022,Q2,9,13,13-Sep-22,THEA0041,Lava Pore Essence,Korean Essence,Skin,Sun Care,Face Sunscreen,1,
2022,Q2,9,13,13-Sep-22,88018239,Pure Care Double Cleanse,Pure Care,Skin,Skin Kits & Combos,Skin Kits,1,
2022,Q2,9,13,13-Sep-22,88018206,Rice Cleansing Foam,Korean Essence,Skin,Lip Care,Lip Balm,2,
2022,Q2,9,13,13-Sep-22,THEA0012,Radiance Brightening Day Cream,Pure Care,Skin,Masks,Sheet Masks,108,
2022,Q2,9,13,13-Sep-22,88018205,Hyaluron Moisture Shampoo With Hyaluronic Acid,Korean Essence,Skin,Cleansers,Cleanser,83,
2022,Q2,9,13,13-Sep-22,THEA0041,Lava Pore Essence,Korean Essence,Skin,Cleansers,Cleanser,20,
2022,Q2,9,13,13-Sep-22,THEA0083,"Vitamin B5, Oil-Free Moisturizer With Zinc",Glow Glisten,Skin,Shop Toners & Mists,Toners & Mists,7,
2022,Q2,9,13,13-Sep-22,88018237,Work-desk essentials,Essential Glow,Skin,Cleansers,Cleanser,1,
2022,Q2,9,13,13-Sep-22,88018228,SPF 30 PA++ Ultra Matte Sunscreen with Vitamin B3,Pure Care,Skin,Sun Care,Face Sunscreen,7,
2022,Q2,9,13,13-Sep-22,88018275,Men Hydrating Emulsion,Korean Essence,Skin,Masks,Masks & Peels,1,
2022,Q2,9,14,14-Sep-22,88036460,Himalaya Rich Cocoa Butter Body Cream,Korean Essence,Skin,Serums,Serums,87,
2022,Q2,9,14,14-Sep-22,88018232, 1% Hyaluronic Sunscreen Aqua Gel With Spf 50,Korean Essence,Skin,Serums,Serums,182,
2022,Q2,9,14,14-Sep-22,88018265,Vitamin C Sleeping Mask,Korean Essence,Bath & Body,Hands & Feet,Hand Creams & Masks,1,
2022,Q2,9,14,14-Sep-22,THEA0038,Vitamin C body lotion,Korean Essence,Skin,Sun Care,Face Sunscreen,7,
2022,Q2,9,14,14-Sep-22,88018239,Pure Care Double Cleanse,Pure Care,Skin,Moisturizers,Face Moisturizer & Day Cream,72,
2022,Q2,9,14,14-Sep-22,88018265,Vitamin C Sleeping Mask,Korean Essence,Skin,Eye Care,Eye Masks,1,
2022,Q2,9,14,14-Sep-22,88018275,Men Hydrating Emulsion,Korean Essence,Makeup,Face,Makeup Remover,4,
2022,Q2,9,14,14-Sep-22,THEA0040,Tote bag ,Essential Glow,Skin,Kits & Combos,Kits & Combos,12,
2022,Q2,9,14,14-Sep-22,88018272,Shine & Glow Facial Kit,Korean Essence,Skin,Masks,Sheet Masks,1,
2022,Q2,9,14,14-Sep-22,THEA0006,Cold Pressed Oil for Hair & Skin with Coconut,Korean Essence,Skin,Moisturizers,Face Moisturizer & Day Cream,5,
2022,Q2,9,14,14-Sep-22,THEA0041,Lava Pore Essence,Korean Essence,Skin,Sun Care,Face Sunscreen,2,
2022,Q2,9,14,14-Sep-22,88018242,D-Tan Removal Coffee Clay Face Mask ,Korean Essence,Skin,Moisturizers,Face Moisturizer & Day Cream,1,
2022,Q2,9,15,15-Sep-22,THEA0041,Lava Pore Essence,Korean Essence,Skin,Masks & Treatment,Masks,4,
2022,Q2,9,15,15-Sep-22,88018263,Serum-n-Cream 30ml,Essential Glow,Makeup,Tools & Brushes,Makeup Pouches,2,
2022,Q2,9,15,15-Sep-22,88018287, 3 Step Routine For Normal Skin,Korean Essence,Skin,Skin Kits & Combos,Skin Kits,116,
2022,Q2,9,15,15-Sep-22,88018220, Baby Face Smoothing Peel Off Mask,Pure Care,Skin,Moisturizers,Face Moisturizer & Day Cream,8,
2022,Q2,9,15,15-Sep-22,88018269,Sun SPF 50 Light Gel,Glow Glisten,Skin,Moisturizers,Face Moisturizer & Day Cream,1,
2022,Q2,9,15,15-Sep-22,88018269,Sun SPF 50 Light Gel,Glow Glisten,Skin,Moisturizers,Serums & Essence,2,
2022,Q2,9,15,15-Sep-22,THEA0006,Cold Pressed Oil for Hair & Skin with Coconut,Korean Essence,Skin,Cleansers,Face Wash,1,
2022,Q2,9,15,15-Sep-22,88018225,Anti Ageing Kit,Korean Essence,Skin,Cleansers,Cleanser,2,
2022,Q2,9,15,15-Sep-22,88018244,Deep Repair Treatment Hair Mask,Korean Essence,Skin,Cleansers,Cleanser,45,
2022,Q2,9,15,15-Sep-22,88018207,Kojic Acid Face Serum With 1% Alpha Arbutin & Niacinamide,Korean Essence,Skin,Moisturizers,Serums & Essence,5,
2022,Q2,9,15,15-Sep-22,THEA0012,Radiance Brightening Day Cream,Pure Care,Makeup,Lips,Lip Tint,21,
2022,Q2,9,15,15-Sep-22,88018268, Advance Ultra Hydrating Lotion With Shea Butter & Niacinamide,Glow Glisten,Skin,Moisturizers,Face Moisturizer & Day Cream,1,
2022,Q2,9,15,15-Sep-22,88018280,Collagen Volume Lifting Serum,Korean Essence,Skin,Cleansers,Scrubs & Exfoliators,13,
2022,Q2,9,16,16-Sep-22,88018290, Diary ,Glow Glisten,Makeup,Lips,Lip Stain,12,
2022,Q2,9,16,16-Sep-22,THEA0083,"Vitamin B5, Oil-Free Moisturizer With Zinc",Glow Glisten,Skin,Toners & Mists,Toners,4,
2022,Q2,9,16,16-Sep-22,88018242,D-Tan Removal Coffee Clay Face Mask ,Korean Essence,Skin,Masks & Treatment,Masks,2,
2022,Q2,9,16,16-Sep-22,88018263,Serum-n-Cream 30ml,Essential Glow,Skin,Moisturisers,Face Moisturizers,2,
2022,Q2,9,16,16-Sep-22,88018239,Pure Care Double Cleanse,Pure Care,Skin,Cleansers,Cleanser,52,
2022,Q2,9,16,16-Sep-22,88018206,Rice Cleansing Foam,Korean Essence,Skin,Cleansers,Cleanser,4,
2022,Q2,9,16,16-Sep-22,88018207,Kojic Acid Face Serum With 1% Alpha Arbutin & Niacinamide,Korean Essence,Skin,Kits & Combos,Combos @ Nykaa,5,
2022,Q2,9,16,16-Sep-22,88018232, 1% Hyaluronic Sunscreen Aqua Gel With Spf 50,Korean Essence,Skin,Moisturizers,Face Moisturizer & Day Cream,1,
2022,Q2,9,16,16-Sep-22,THEA0040,Tote bag ,Essential Glow,Skin,Moisturizers,Face Moisturizer & Day Cream,5,
2022,Q2,9,16,16-Sep-22,THEA0041,Lava Pore Essence,Korean Essence,Skin,Hands & Feet,Hand & Foot Masks,1,
2022,Q2,9,16,16-Sep-22,88018207,Kojic Acid Face Serum With 1% Alpha Arbutin & Niacinamide,Korean Essence,Skin,Sun Care,Face Sunscreen,9,
2022,Q2,9,16,16-Sep-22,88018294, Duet Gentle Cleanse,Korean Essence,Skin,Moisturizers,Face Moisturizer & Day Cream,2,
2022,Q2,9,16,16-Sep-22,88018220, Baby Face Smoothing Peel Off Mask,Pure Care,Skin,Masks,Masks & Peels,1,
2022,Q2,9,16,16-Sep-22,88018228,SPF 30 PA++ Ultra Matte Sunscreen with Vitamin B3,Pure Care,Skin,Shop Toners & Mists,Toners & Mists,77,
2022,Q2,9,16,16-Sep-22,88018214,Glycolic Bright Daily Foaming Face Cleanser With Glycolic Acid For Dull Skin,Korean Essence,Skin,Kits & Combos,Combos @ Nykaa,2,
2022,Q2,9,16,16-Sep-22,88018213,Optimal Hydration Body Lotion With Hyaluronic Acid+Vitamin E,Korean Essence,Skin,Shop Toners & Mists,Toners & Mists,2,
2022,Q2,9,16,16-Sep-22,88018206,Rice Cleansing Foam,Korean Essence,Skin,Shop Toners & Mists,Toners & Mists,2,
2022,Q2,9,16,16-Sep-22,88018225,Anti Ageing Kit,Korean Essence,Skin,Cleansers,Cleanser,1,
2022,Q2,9,16,16-Sep-22,88018242,D-Tan Removal Coffee Clay Face Mask ,Korean Essence,Skin,Toners,Toners & Mists,1,
2022,Q2,9,16,16-Sep-22,THEA0017,Antioxidant Hydro Serum,Korean Essence,Skin,Cleansers,Scrubs & Exfoliators,1,
2022,Q2,9,17,17-Sep-22,88018299,Anti-Ageing Sleeping Mask Revitalize Skin texture,Korean Essence,Skin,Cleansers,Face Wash,3,
2022,Q2,9,17,17-Sep-22,THEA0014,Carbon blackhead Mask,Glow Glisten,Skin,Skin Kits & Combos,Skin Kits,4,
2022,Q2,9,17,17-Sep-22,THEA0041,Lava Pore Essence,Korean Essence,Skin,Masks,Sheet Masks,194,
2022,Q2,9,17,17-Sep-22,88018207,Kojic Acid Face Serum With 1% Alpha Arbutin & Niacinamide,Korean Essence,Skin,Masks,Sheet Masks,303,
2022,Q2,9,17,17-Sep-22,88018226, Towel - Scrunchie,Korean Essence,Skin,Moisturizers,Serums & Essence,9,
2022,Q2,9,17,17-Sep-22,88018280,Collagen Volume Lifting Serum,Korean Essence,Skin,Moisturizers,Face Moisturizer & Day Cream,1,
2022,Q2,9,17,17-Sep-22,88018275,Men Hydrating Emulsion,Korean Essence,Skin,Kits & Combos,Combos @ Nykaa,10,
2022,Q2,9,17,17-Sep-22,THEA0017,Antioxidant Hydro Serum,Korean Essence,Skin,Moisturizers,Face Moisturizer & Day Cream,2,
2022,Q2,9,17,17-Sep-22,88018240,Sling Bag,Korean Essence,Skin,Masks,Sheet Masks,66,
2022,Q2,9,17,17-Sep-22,88018265,Vitamin C Sleeping Mask,Korean Essence,Skin,Masks,Sheet Masks,59,
2022,Q2,9,17,17-Sep-22,88018228,SPF 30 PA++ Ultra Matte Sunscreen with Vitamin B3,Pure Care,Skin,Moisturizers,Face Moisturizer & Day Cream,2,
2022,Q2,9,18,18-Sep-22,88018202,Rice Facial Kit With Rice Water & Niacinamide For Glass Skin,Glow Glisten,Skin,Serums,Serums,61,
2022,Q2,9,18,18-Sep-22,88018299,Anti-Ageing Sleeping Mask Revitalize Skin texture,Korean Essence,Skin,Sun Care,Face Sunscreen,1,
2022,Q2,9,18,18-Sep-22,88018280,Collagen Volume Lifting Serum,Korean Essence,Skin,Sun Care,Face Sunscreen,4,
2022,Q2,9,18,18-Sep-22,88018220, Baby Face Smoothing Peel Off Mask,Pure Care,Makeup,Face,Makeup Remover,99,
2022,Q2,9,18,18-Sep-22,88018294, Duet Gentle Cleanse,Korean Essence,Skin,Skin Kits & Combos,Skin Combos,1,
2022,Q2,9,18,18-Sep-22,88018232, 1% Hyaluronic Sunscreen Aqua Gel With Spf 50,Korean Essence,Skin,Moisturizers,Face Moisturizer & Day Cream,13,
2022,Q2,9,18,18-Sep-22,88018225,Anti Ageing Kit,Korean Essence,Skin,Shop Toners & Mists,Toners & Mists,1,
2022,Q2,9,18,18-Sep-22,88018275,Men Hydrating Emulsion,Korean Essence,Skin,Moisturizers,Face Moisturizer & Day Cream,10,
2022,Q2,9,18,18-Sep-22,88018251,Peach Milk Moisturizer ,Pure Care,Skin,Moisturizers,Face Moisturizer & Day Cream,21,
2022,Q2,9,18,18-Sep-22,88018206,Rice Cleansing Foam,Korean Essence,Skin,Masks,Masks & Peels,3,
2022,Q2,9,18,18-Sep-22,88018275,Men Hydrating Emulsion,Korean Essence,Skin,Eye Care,Eye Masks,1,
2022,Q2,9,18,18-Sep-22,88018237,Work-desk essentials,Essential Glow,Skin,Cleansers,Scrubs & Exfoliators,17,
2022,Q2,9,18,18-Sep-22,88018287, 3 Step Routine For Normal Skin,Korean Essence,Skin,Masks,Masks & Peels,4,
2022,Q2,9,18,18-Sep-22,88018275,Men Hydrating Emulsion,Korean Essence,Skin,Cleansers,Scrubs & Exfoliators,1,
2022,Q2,9,18,18-Sep-22,88018299,Anti-Ageing Sleeping Mask Revitalize Skin texture,Korean Essence,Skin,Sun Care,Face Sunscreen,4,
2022,Q2,9,18,18-Sep-22,88018287, 3 Step Routine For Normal Skin,Korean Essence,Skin,Cleansers,Face Wash & Cleanser,4,
2022,Q2,9,18,18-Sep-22,THEA0040,Tote bag ,Essential Glow,Skin,Eye Care,Under Eye Cream & Serums,1,
2022,Q2,9,18,18-Sep-22,88018268, Advance Ultra Hydrating Lotion With Shea Butter & Niacinamide,Glow Glisten,Makeup,Lips,Lip Tint,4,
2022,Q2,9,19,19-Sep-22,88018280,Collagen Volume Lifting Serum,Korean Essence,Skin,Cleansers,Face Wash,95,
2022,Q2,9,19,19-Sep-22,88018240,Sling Bag,Korean Essence,Skin,Cleansers,Face Wash,11,
2022,Q2,9,19,19-Sep-22,88018263,Serum-n-Cream 30ml,Essential Glow,Skin,Serums,Serums,4,
2022,Q2,9,19,19-Sep-22,88018220, Baby Face Smoothing Peel Off Mask,Pure Care,Skin,Skin Kits & Combos,Skin Combos,1,
2022,Q2,9,19,19-Sep-22,88018263,Serum-n-Cream 30ml,Essential Glow,Skin,Masks,Sheet Masks,26,
2022,Q2,9,19,19-Sep-22,88018251,Peach Milk Moisturizer ,Pure Care,Skin,Masks,Sheet Masks,34,
2022,Q2,9,19,19-Sep-22,THEA0038,Vitamin C body lotion,Korean Essence,Skin,Kits & Combos,Combos @ Nykaa,1,
2022,Q2,9,19,19-Sep-22,88018217, 5 Step Routine For Oily Skin,Pure Care,Makeup,Face,Makeup Remover,30,
2022,Q2,9,19,19-Sep-22,88018296,Korean Essentials Delicate Facial Cleanser,Korean Essence,Skin,Moisturizers,Face Moisturizer & Day Cream,18,
