date_range,source_city_name,brand_name,top_slug,mid_slug,leaf_slug,source_sku_id,sku_description,sku_weight,total_quantity
2023-11-10,Noida,Glow Glisten,beauty-hygiene,skin-care,face-care,402495,"Vitamin B5, Oil-Free Moisturizer With Zinc",20 g,2
2023-12-22,Bangalore,Glow Glisten,beauty-hygiene,skin-care,face-care,402439,"Vitamin B5, Oil-Free Moisturizer With Zinc",150 ml,1
2024-05-03,Gurgaon,Glow Glisten,beauty-hygiene,skin-care,face-care,402050,"Vitamin B5, Oil-Free Moisturizer With Zinc",100 ml,2
2023-09-15,Bangalore,Glow Glisten,beauty-hygiene,skin-care,face-care,401566,"Face Moisturizer With Niacinamide, Hyaluronic Acid,Vitamin E & B5",20 g,2
2024-04-08,Gurgaon,Pure Care,beauty-hygiene,skin-care,face-care,401752,Pure Care Double Cleanse,50 ml,1
2023-10-25,Noida,Glow Glisten,beauty-hygiene,skin-care,face-care,402135,"Face Moisturizer With Niacinamide, Hyaluronic Acid,Vitamin E & B5",50 ml,1
2024-03-16,Noida,Glow Glisten,beauty-hygiene,skin-care,face-care,402158,"Face Moisturizer With Niacinamide, Hyaluronic Acid,Vitamin E & B5",150 ml,1
2024-03-15,Hyderabad,Pure Care,beauty-hygiene,skin-care,face-care,402067,Pure Care Double Cleanse,20 g,1
2023-11-06,Mumbai,Glow Glisten,beauty-hygiene,skin-care,face-care,402859,"Vitamin B5, Oil-Free Moisturizer With Zinc",50 ml,0
2023-12-15,Vijayawada-Guntur,Glow Glisten,beauty-hygiene,skin-care,face-care,401552,"Vitamin B5, Oil-Free Moisturizer With Zinc",20 g,1
2024-04-24,Hyderabad,Glow Glisten,beauty-hygiene,skin-care,face-care,401462,"Vitamin B5, Oil-Free Moisturizer With Zinc",50 ml,1
2024-04-25,Vijayawada-Guntur,Pure Care,beauty-hygiene,makeup,lips,402781,Pure Care Double Cleanse,5 g,0
2024-03-04,Gurgaon,Glow Glisten,beauty-hygiene,skin-care,face-care,402293,"Face Moisturizer With Niacinamide, Hyaluronic Acid,Vitamin E & B5",50 ml,9
2024-05-20,Chennai,Glow Glisten,beauty-hygiene,skin-care,face-care,402411,"Vitamin B5, Oil-Free Moisturizer With Zinc",50 ml,1
2024-02-18,Noida,Glow Glisten,beauty-hygiene,skin-care,face-care,401462,"Face Moisturizer With Niacinamide, Hyaluronic Acid,Vitamin E & B5",100 ml,2
2023-07-31,Lucknow-Kanpur,Glow Glisten,beauty-hygiene,skin-care,face-care,401954,"Vitamin B5, Oil-Free Moisturizer With Zinc",150 ml,1
2024-04-26,Nagpur,Glow Glisten,beauty-hygiene,skin-care,face-care,402636,"Vitamin B5, Oil-Free Moisturizer With Zinc",170 ml,1
2024-04-10,Chandigarh Tricity,Pure Care,beauty-hygiene,makeup,lips,402067,Pure Care Double Cleanse,5 g,1
2024-03-27,Agra,Pure Care,beauty-hygiene,skin-care,face-care,402097,Pure Care Double Cleanse,20 g,2
2024-01-27,Agra,Glow Glisten,beauty-hygiene,skin-care,face-care,402347,"Face Moisturizer With Niacinamide, Hyaluronic Acid,Vitamin E & B5",20 g,2
2024-03-08,Nagpur,Glow Glisten,beauty-hygiene,skin-care,body-care,402347,"Face Moisturizer With Niacinamide, Hyaluronic Acid,Vitamin E & B5",40 ml,1
2024-04-23,Nagpur,Pure Care,beauty-hygiene,skin-care,face-care,402773,Pure Care Double Cleanse,50 ml,1
2024-05-21,Chennai,Glow Glisten,beauty-hygiene,skin-care,face-care,401752,"Vitamin B5, Oil-Free Moisturizer With Zinc",20 g,1
2023-08-17,Mysore,Glow Glisten,beauty-hygiene,skin-care,face-care,402073,"Vitamin B5, Oil-Free Moisturizer With Zinc",145 ml,1
2024-03-10,Visakhapatnam,Pure Care,beauty-hygiene,skin-care,face-care,401566,Pure Care Double Cleanse,300 ml,1
2024-05-07,Kolkata,Glow Glisten,beauty-hygiene,skin-care,face-care,402196,"Vitamin B5, Oil-Free Moisturizer With Zinc",300 ml,2
2023-11-09,Hyderabad,Glow Glisten,beauty-hygiene,skin-care,face-care,401474,"Vitamin B5, Oil-Free Moisturizer With Zinc",50 ml,0
2023-10-25,Gurgaon,Glow Glisten,beauty-hygiene,skin-care,face-care,402683,"Face Moisturizer With Niacinamide, Hyaluronic Acid,Vitamin E & B5",20 g,4
2023-08-19,Bangalore,Glow Glisten,beauty-hygiene,skin-care,face-care,402928,"Face Moisturizer With Niacinamide, Hyaluronic Acid,Vitamin E & B5",20 g,2
2023-07-14,Visakhapatnam,Pure Care,beauty-hygiene,skin-care,face-care,401954,Pure Care Double Cleanse,50 ml,1
2023-11-23,Noida,Glow Glisten,beauty-hygiene,skin-care,face-care,402347,"Vitamin B5, Oil-Free Moisturizer With Zinc",50 ml,2
2023-07-05,Bangalore,Glow Glisten,beauty-hygiene,skin-care,face-care,401942,"Vitamin B5, Oil-Free Moisturizer With Zinc",300 ml,1
2023-09-17,Hyderabad,Glow Glisten,beauty-hygiene,skin-care,face-care,401552,"Vitamin B5, Oil-Free Moisturizer With Zinc",20 g,5
2024-03-30,Gurgaon,Pure Care,beauty-hygiene,skin-care,face-care,402554,Pure Care Double Cleanse,100 ml,3
2023-08-14,Nagpur,Glow Glisten,beauty-hygiene,skin-care,face-care,401851,"Vitamin B5, Oil-Free Moisturizer With Zinc",170 ml,1
2023-09-08,Hyderabad,Pure Care,beauty-hygiene,skin-care,face-care,402558,Pure Care Double Cleanse,20 g,7
2024-01-14,Nagpur,Glow Glisten,beauty-hygiene,skin-care,face-care,402566,"Face Moisturizer With Niacinamide, Hyaluronic Acid,Vitamin E & B5",170 ml,1
2024-04-26,Chennai,Glow Glisten,beauty-hygiene,skin-care,face-care,402101,"Vitamin B5, Oil-Free Moisturizer With Zinc",170 ml,1
2023-11-23,Gurgaon,Glow Glisten,beauty-hygiene,skin-care,face-care,401954,"Face Moisturizer With Niacinamide, Hyaluronic Acid,Vitamin E & B5",20 g,12
2024-02-06,Bangalore,Glow Glisten,beauty-hygiene,skin-care,face-care,402636,"Face Moisturizer With Niacinamide, Hyaluronic Acid,Vitamin E & B5",20 g,1
2024-03-09,Gurgaon,Glow Glisten,beauty-hygiene,skin-care,face-care,402439,"Vitamin B5, Oil-Free Moisturizer With Zinc",50 ml,2
2023-12-11,Bangalore,Glow Glisten,beauty-hygiene,skin-care,face-care,401552,"Vitamin B5, Oil-Free Moisturizer With Zinc",20 g,1
2023-07-23,Noida,Glow Glisten,beauty-hygiene,skin-care,face-care,401566,"Vitamin B5, Oil-Free Moisturizer With Zinc",100 ml,6
2023-12-07,Hyderabad,Glow Glisten,beauty-hygiene,skin-care,face-care,401994,"Vitamin B5, Oil-Free Moisturizer With Zinc",50 ml,1
2024-05-12,Hyderabad,Glow Glisten,beauty-hygiene,skin-care,face-care,401669,"Vitamin B5, Oil-Free Moisturizer With Zinc",50 ml,2
2024-04-30,Bangalore,Glow Glisten,beauty-hygiene,skin-care,face-care,402781, Advance Ultra Hydrating Lotion With Shea Butter & Niacinamide,100 ml,1
2024-05-07,Chennai,Glow Glisten,beauty-hygiene,skin-care,face-care,401669,"Vitamin B5, Oil-Free Moisturizer With Zinc",20 g,1
2023-11-05,Chennai,Glow Glisten,beauty-hygiene,skin-care,face-care,401474,"Face Moisturizer With Niacinamide, Hyaluronic Acid,Vitamin E & B5",50 ml,2
2023-10-19,Chennai,Pure Care,beauty-hygiene,skin-care,face-care,402050,Pure Care Double Cleanse,150 ml,1
2023-07-10,Hyderabad,Glow Glisten,beauty-hygiene,skin-care,face-care,401722,"Face Moisturizer With Niacinamide, Hyaluronic Acid,Vitamin E & B5",20 g,9
2024-01-07,Hyderabad,Glow Glisten,beauty-hygiene,skin-care,face-care,401722,"Vitamin B5, Oil-Free Moisturizer With Zinc",20 g,3
2023-07-23,Lucknow-Kanpur,Glow Glisten,beauty-hygiene,skin-care,face-care,401552,"Vitamin B5, Oil-Free Moisturizer With Zinc",50 ml,1
2024-02-10,Hyderabad,Pure Care,beauty-hygiene,skin-care,face-care,402347,Pure Care Double Cleanse,20 g,1
2023-07-20,Nashik,Glow Glisten,beauty-hygiene,makeup,lips,402196,"Vitamin B5, Oil-Free Moisturizer With Zinc",5 g,1
2024-03-05,Noida,Glow Glisten,beauty-hygiene,skin-care,face-care,401474,"Vitamin B5, Oil-Free Moisturizer With Zinc",150 ml,1
2023-10-17,Mysore,Glow Glisten,beauty-hygiene,skin-care,face-care,401722,"Vitamin B5, Oil-Free Moisturizer With Zinc",20 g,2
2024-02-29,Hyderabad,Glow Glisten,beauty-hygiene,skin-care,face-care,402154,"Face Moisturizer With Niacinamide, Hyaluronic Acid,Vitamin E & B5",150 ml,1
2024-03-28,Chennai,Glow Glisten,beauty-hygiene,makeup,lips,402872,"Vitamin B5, Oil-Free Moisturizer With Zinc",5 g,1
2023-08-10,Nagpur,Pure Care,beauty-hygiene,skin-care,face-care,402097,Pure Care Double Cleanse,50 ml,1
2024-03-21,Hyderabad,Glow Glisten,beauty-hygiene,skin-care,face-care,401462,"Vitamin B5, Oil-Free Moisturizer With Zinc",50 ml,1
2024-01-21,Lucknow-Kanpur,Pure Care,beauty-hygiene,skin-care,face-care,401566,Pure Care Double Cleanse,150 ml,0
2023-11-07,Mumbai,Glow Glisten,beauty-hygiene,skin-care,face-care,402566, Advance Ultra Hydrating Lotion With Shea Butter & Niacinamide,20 g,33
2023-11-27,Hyderabad,Glow Glisten,beauty-hygiene,skin-care,face-care,402240,"Face Moisturizer With Niacinamide, Hyaluronic Acid,Vitamin E & B5",150 ml,1
2024-02-21,Gurgaon,Pure Care,beauty-hygiene,skin-care,eye-care,401722,Pure Care Double Cleanse,50 ml,1
2024-03-23,Kochi,Glow Glisten,beauty-hygiene,skin-care,face-care,402196,"Vitamin B5, Oil-Free Moisturizer With Zinc",20 g,1
2023-09-29,Visakhapatnam,Glow Glisten,beauty-hygiene,skin-care,face-care,402941,"Vitamin B5, Oil-Free Moisturizer With Zinc",20 g,1
2024-04-09,Nagpur,Glow Glisten,beauty-hygiene,skin-care,face-care,402135,"Vitamin B5, Oil-Free Moisturizer With Zinc",50 ml,1
2023-07-20,Chennai,Korean Essence,beauty-hygiene,skin-care,face-care,402834,Vitamin C Sleeping Mask,170 ml,1
2023-12-16,Bangalore,Glow Glisten,beauty-hygiene,skin-care,face-care,402196,"Vitamin B5, Oil-Free Moisturizer With Zinc",20 g,1
2024-05-07,Chennai,Glow Glisten,beauty-hygiene,skin-care,face-care,402709,"Vitamin B5, Oil-Free Moisturizer With Zinc",50 ml,1
2023-07-28,Vadodara,Glow Glisten,beauty-hygiene,skin-care,face-care,402067,"Vitamin B5, Oil-Free Moisturizer With Zinc",145 ml,1
2024-04-02,Noida,Glow Glisten,beauty-hygiene,skin-care,face-care,401474,"Vitamin B5, Oil-Free Moisturizer With Zinc",100 ml,1
2023-10-06,Mumbai,Pure Care,beauty-hygiene,skin-care,face-care,402859,Pure Care Double Cleanse,100 ml,1
2023-08-29,Hyderabad,Glow Glisten,beauty-hygiene,skin-care,face-care,402097,"Vitamin B5, Oil-Free Moisturizer With Zinc",20 g,9
2024-03-12,Kochi,Glow Glisten,beauty-hygiene,skin-care,face-care,401669,"Vitamin B5, Oil-Free Moisturizer With Zinc",20 g,1
2024-02-11,Mumbai,Glow Glisten,beauty-hygiene,makeup,lips,402872,"Vitamin B5, Oil-Free Moisturizer With Zinc",5 g,1
2024-04-01,Mumbai,Glow Glisten,beauty-hygiene,skin-care,face-care,402196,"Vitamin B5, Oil-Free Moisturizer With Zinc",22 ml,1
2023-08-26,Nagpur,Glow Glisten,beauty-hygiene,skin-care,body-care,401851,"Vitamin B5, Oil-Free Moisturizer With Zinc",40 ml,1
2024-03-18,Mumbai,Pure Care,beauty-hygiene,skin-care,face-care,402097,Pure Care Double Cleanse,20 g,4
2023-08-20,Hyderabad,Glow Glisten,beauty-hygiene,skin-care,face-care,402097,"Face Moisturizer With Niacinamide, Hyaluronic Acid,Vitamin E & B5",150 ml,1
2023-07-03,Gurgaon,Pure Care,beauty-hygiene,skin-care,face-care,402872,Pure Care Double Cleanse,20 g,4
2023-09-21,Gurgaon,Korean Essence,beauty-hygiene,skin-care,eye-care,401669,Vitamin C Sleeping Mask,20 ml,1
2023-11-27,Kolkata,Pure Care,beauty-hygiene,skin-care,face-care,401942,Pure Care Double Cleanse,20 g,1
2023-07-28,Gurgaon,Glow Glisten,beauty-hygiene,skin-care,face-care,401474,"Vitamin B5, Oil-Free Moisturizer With Zinc",80 ml,1
2023-10-16,Hyderabad,Glow Glisten,beauty-hygiene,skin-care,face-care,402425,"Vitamin B5, Oil-Free Moisturizer With Zinc",150 ml,4
2023-09-12,Kozhikode,Pure Care,beauty-hygiene,skin-care,face-care,402293,Peach Milk Moisturizer ,170 ml,1
2023-08-15,Gurgaon,Glow Glisten,beauty-hygiene,makeup,lips,401752,"Face Moisturizer With Niacinamide, Hyaluronic Acid,Vitamin E & B5",5 g,1
2023-11-23,Visakhapatnam,Pure Care,beauty-hygiene,makeup,lips,401462,Peach Milk Moisturizer ,5 g,1
2024-05-18,Jaipur,Glow Glisten,beauty-hygiene,makeup,lips,402859,"Vitamin B5, Oil-Free Moisturizer With Zinc",5 g,1
2023-10-25,Hyderabad,Glow Glisten,beauty-hygiene,skin-care,face-care,402773,"Face Moisturizer With Niacinamide, Hyaluronic Acid,Vitamin E & B5",170 ml,1
2024-03-17,Bangalore,Glow Glisten,beauty-hygiene,skin-care,face-care,402067,"Vitamin B5, Oil-Free Moisturizer With Zinc",20 g,2
2023-08-09,Pune,Glow Glisten,beauty-hygiene,skin-care,face-care,401942,"Vitamin B5, Oil-Free Moisturizer With Zinc",20 g,4
2023-10-28,Ahmedabad-Gandhinagar,Glow Glisten,beauty-hygiene,skin-care,face-care,401994,"Vitamin B5, Oil-Free Moisturizer With Zinc",50 ml,1
2024-04-19,Mumbai,Glow Glisten,beauty-hygiene,skin-care,face-care,402154,"Vitamin B5, Oil-Free Moisturizer With Zinc",160 ml,2
2023-10-19,Hyderabad,Glow Glisten,beauty-hygiene,skin-care,face-care,402923,"Vitamin B5, Oil-Free Moisturizer With Zinc",20 g,11
2024-05-11,Mumbai,Pure Care,beauty-hygiene,skin-care,face-care,401474,Pure Care Double Cleanse,50 ml,0
2023-12-16,Hyderabad,Glow Glisten,beauty-hygiene,skin-care,face-care,402636,"Vitamin B5, Oil-Free Moisturizer With Zinc",20 g,1
2023-11-07,Kochi,Glow Glisten,beauty-hygiene,skin-care,face-care,402495,"Vitamin B5, Oil-Free Moisturizer With Zinc",20 g,1
2023-09-08,Gurgaon,Pure Care,beauty-hygiene,skin-care,face-care,402554,Pure Care Double Cleanse,150 ml,1
2023-09-06,Chennai,Glow Glisten,beauty-hygiene,skin-care,face-care,402425,"Vitamin B5, Oil-Free Moisturizer With Zinc",170 ml,3
2023-07-20,Bangalore,Glow Glisten,beauty-hygiene,skin-care,face-care,401462,"Vitamin B5, Oil-Free Moisturizer With Zinc",50 ml,2
2023-10-02,Noida,Glow Glisten,beauty-hygiene,skin-care,face-care,402709,"Vitamin B5, Oil-Free Moisturizer With Zinc",50 ml,1
2024-03-17,Gurgaon,Glow Glisten,beauty-hygiene,skin-care,face-care,401462,"Face Moisturizer With Niacinamide, Hyaluronic Acid,Vitamin E & B5",20 g,13
2024-02-26,Chennai,Glow Glisten,beauty-hygiene,skin-care,face-care,402101,"Vitamin B5, Oil-Free Moisturizer With Zinc",150 ml,1
2024-02-12,Hyderabad,Glow Glisten,beauty-hygiene,skin-care,face-care,402636,"Face Moisturizer With Niacinamide, Hyaluronic Acid,Vitamin E & B5",170 ml,1
2023-08-24,Hyderabad,Glow Glisten,beauty-hygiene,skin-care,face-care,402773,"Vitamin B5, Oil-Free Moisturizer With Zinc",170 ml,1
2023-08-21,Hyderabad,Glow Glisten,beauty-hygiene,makeup,lips,402773,"Face Moisturizer With Niacinamide, Hyaluronic Acid,Vitamin E & B5",5 g,1
2023-09-07,Gurgaon,Korean Essence,beauty-hygiene,skin-care,face-care,401566,Vitamin C Sleeping Mask,20 g,3
2024-03-02,Pune,Glow Glisten,beauty-hygiene,skin-care,face-care,401669,"Vitamin B5, Oil-Free Moisturizer With Zinc",20 pcs,1
2024-03-29,Gurgaon,Glow Glisten,beauty-hygiene,skin-care,face-care,402240,"Vitamin B5, Oil-Free Moisturizer With Zinc",145 ml,1
2024-04-30,Hyderabad,Glow Glisten,beauty-hygiene,skin-care,face-care,401722,"Vitamin B5, Oil-Free Moisturizer With Zinc",140 ml,3
2023-07-25,Coimbatore,Glow Glisten,beauty-hygiene,skin-care,face-care,402439,"Vitamin B5, Oil-Free Moisturizer With Zinc",20 g,1
2023-08-23,Gurgaon,Glow Glisten,beauty-hygiene,skin-care,face-care,402709,"Vitamin B5, Oil-Free Moisturizer With Zinc",150 ml,1
2023-08-12,Hyderabad,Glow Glisten,beauty-hygiene,skin-care,face-care,402135,"Vitamin B5, Oil-Free Moisturizer With Zinc",100 ml,1
2023-08-29,Bangalore,Glow Glisten,beauty-hygiene,makeup,lips,402196,"Vitamin B5, Oil-Free Moisturizer With Zinc",5 g,1
2024-03-04,Lucknow-Kanpur,Glow Glisten,beauty-hygiene,skin-care,face-care,402347,"Vitamin B5, Oil-Free Moisturizer With Zinc",150 ml,1
2023-09-04,Jaipur,Glow Glisten,beauty-hygiene,skin-care,face-care,402837,"Vitamin B5, Oil-Free Moisturizer With Zinc",20 g,1
2024-01-11,Mumbai,Glow Glisten,beauty-hygiene,skin-care,face-care,401669,"Vitamin B5, Oil-Free Moisturizer With Zinc",20 g,11
2023-09-10,Ahmedabad-Gandhinagar,Glow Glisten,beauty-hygiene,skin-care,face-care,401552,"Vitamin B5, Oil-Free Moisturizer With Zinc",20 g,3
2024-05-17,Pune,Glow Glisten,beauty-hygiene,skin-care,face-care,402279,"Vitamin B5, Oil-Free Moisturizer With Zinc",20 g,2
2024-01-02,Gurgaon,Glow Glisten,beauty-hygiene,skin-care,face-care,402050,"Vitamin B5, Oil-Free Moisturizer With Zinc",3 pcs,1
2024-04-26,Mumbai,Glow Glisten,beauty-hygiene,skin-care,eye-care,402101,"Face Moisturizer With Niacinamide, Hyaluronic Acid,Vitamin E & B5",30 ml,1
2023-12-22,Bangalore,Glow Glisten,beauty-hygiene,makeup,lips,402837,"Vitamin B5, Oil-Free Moisturizer With Zinc",5 g,1
2024-04-29,Mumbai,Glow Glisten,beauty-hygiene,skin-care,face-care,401669,"Vitamin B5, Oil-Free Moisturizer With Zinc",20 pcs,5
2024-02-10,Coimbatore,Pure Care,beauty-hygiene,skin-care,face-care,402859,Pure Care Double Cleanse,20 g,1
2023-11-20,Noida,Glow Glisten,beauty-hygiene,skin-care,face-care,401994,"Vitamin B5, Oil-Free Moisturizer With Zinc",20 g,1
2024-05-25,Chennai,Glow Glisten,beauty-hygiene,skin-care,face-care,402135,"Face Moisturizer With Niacinamide, Hyaluronic Acid,Vitamin E & B5",170 ml,1
2023-10-22,Nagpur,Glow Glisten,beauty-hygiene,skin-care,face-care,401462,"Vitamin B5, Oil-Free Moisturizer With Zinc",20 g,6
2024-02-07,Chennai,Glow Glisten,beauty-hygiene,skin-care,face-care,401722,"Vitamin B5, Oil-Free Moisturizer With Zinc",170 ml,1
2023-08-05,Gurgaon,Pure Care,beauty-hygiene,skin-care,face-care,402439,Pure Care Double Cleanse,20 g,6
2024-03-05,Noida,Glow Glisten,beauty-hygiene,skin-care,face-care,401942,"Vitamin B5, Oil-Free Moisturizer With Zinc",150 ml,3
2024-05-10,Gurgaon,Glow Glisten,beauty-hygiene,skin-care,face-care,402566,"Face Moisturizer With Niacinamide, Hyaluronic Acid,Vitamin E & B5",100 ml,2
2024-01-30,Gurgaon,Pure Care,beauty-hygiene,skin-care,face-care,402347,Pure Care Double Cleanse,50 ml,4
2024-04-05,Bangalore,Pure Care,beauty-hygiene,skin-care,face-care,402154,Pure Care Double Cleanse,20 g,1
2024-05-24,Noida,Glow Glisten,beauty-hygiene,skin-care,face-care,402558,"Vitamin B5, Oil-Free Moisturizer With Zinc",50 ml,3
2024-03-25,Visakhapatnam,Pure Care,beauty-hygiene,skin-care,face-care,402636,Pure Care Double Cleanse,170 ml,1
2024-01-05,Chennai,Glow Glisten,beauty-hygiene,skin-care,face-care,402636,"Face Moisturizer With Niacinamide, Hyaluronic Acid,Vitamin E & B5",150 ml,2
2023-11-03,Gurgaon,Glow Glisten,beauty-hygiene,skin-care,face-care,402158,"Vitamin B5, Oil-Free Moisturizer With Zinc",100 ml,1
2023-09-06,Gurgaon,Glow Glisten,beauty-hygiene,skin-care,face-care,401722,"Vitamin B5, Oil-Free Moisturizer With Zinc",50 ml,2
2024-05-17,Bangalore,Glow Glisten,beauty-hygiene,skin-care,face-care,402923,"Vitamin B5, Oil-Free Moisturizer With Zinc",20 g,1
2024-02-19,Gurgaon,Glow Glisten,beauty-hygiene,skin-care,face-care,402050,"Face Moisturizer With Niacinamide, Hyaluronic Acid,Vitamin E & B5",20 g,5
2024-02-11,Noida,Glow Glisten,beauty-hygiene,skin-care,face-care,402709,"Face Moisturizer With Niacinamide, Hyaluronic Acid,Vitamin E & B5",150 ml,2
2023-09-08,Noida,Korean Essence,beauty-hygiene,skin-care,face-care,401722,Vitamin C Sleeping Mask,50 ml,2
2024-01-30,Visakhapatnam,Pure Care,beauty-hygiene,skin-care,face-care,401669,Pure Care Double Cleanse,170 ml,1
2023-07-18,Chennai,Glow Glisten,beauty-hygiene,skin-care,face-care,402558,"Vitamin B5, Oil-Free Moisturizer With Zinc",150 ml,1
2024-04-24,Noida,Glow Glisten,beauty-hygiene,skin-care,face-care,402240,"Vitamin B5, Oil-Free Moisturizer With Zinc",150 ml,1
2023-12-19,Bangalore,Glow Glisten,beauty-hygiene,skin-care,face-care,402872,"Face Moisturizer With Niacinamide, Hyaluronic Acid,Vitamin E & B5",50 ml,1
2023-12-27,Chandigarh Tricity,Glow Glisten,beauty-hygiene,skin-care,face-care,402781,"Vitamin B5, Oil-Free Moisturizer With Zinc",20 g,1
2023-11-17,Hyderabad,Glow Glisten,beauty-hygiene,skin-care,face-care,401752,"Vitamin B5, Oil-Free Moisturizer With Zinc",20 g,1
2023-11-02,Bangalore,Glow Glisten,beauty-hygiene,skin-care,face-care,402158,"Vitamin B5, Oil-Free Moisturizer With Zinc",150 ml,1
2023-08-24,Mumbai,Pure Care,beauty-hygiene,skin-care,face-care,402439,Peach Milk Moisturizer ,140 ml,1
2023-09-02,Bangalore,Glow Glisten,beauty-hygiene,makeup,lips,402240,"Vitamin B5, Oil-Free Moisturizer With Zinc",5 g,2
2024-02-21,Chennai,Glow Glisten,beauty-hygiene,skin-care,face-care,402709,"Vitamin B5, Oil-Free Moisturizer With Zinc",150 ml,1
2023-12-26,Hyderabad,Glow Glisten,beauty-hygiene,skin-care,face-care,401954,"Vitamin B5, Oil-Free Moisturizer With Zinc",20 g,1
2023-12-01,Gurgaon,Glow Glisten,beauty-hygiene,skin-care,face-care,402073,"Vitamin B5, Oil-Free Moisturizer With Zinc",50 ml,2
2023-07-11,Bangalore,Glow Glisten,beauty-hygiene,skin-care,face-care,402687,"Face Moisturizer With Niacinamide, Hyaluronic Acid,Vitamin E & B5",20 g,10
2024-04-30,Gurgaon,Glow Glisten,beauty-hygiene,makeup,lips,402135,"Vitamin B5, Oil-Free Moisturizer With Zinc",5 g,1
2023-08-19,Bangalore,Glow Glisten,beauty-hygiene,skin-care,body-care,402636,"Face Moisturizer With Niacinamide, Hyaluronic Acid,Vitamin E & B5",40 ml,1
2023-12-22,Chennai,Glow Glisten,beauty-hygiene,skin-care,face-care,402709,"Face Moisturizer With Niacinamide, Hyaluronic Acid,Vitamin E & B5",20 g,8
2023-12-24,Mumbai,Glow Glisten,beauty-hygiene,skin-care,face-care,402240,"Vitamin B5, Oil-Free Moisturizer With Zinc",20 pcs,2
2023-11-01,Bangalore,Glow Glisten,beauty-hygiene,skin-care,face-care,402158,"Face Moisturizer With Niacinamide, Hyaluronic Acid,Vitamin E & B5",170 ml,1
2023-07-01,Bangalore,Glow Glisten,beauty-hygiene,skin-care,face-care,402154,"Vitamin B5, Oil-Free Moisturizer With Zinc",170 ml,1
2024-03-09,Gurgaon,Pure Care,beauty-hygiene,skin-care,face-care,401851,Peach Milk Moisturizer ,20 g,3
2024-03-25,Noida-Ghaziabad,Glow Glisten,beauty-hygiene,skin-care,face-care,402558,"Face Moisturizer With Niacinamide, Hyaluronic Acid,Vitamin E & B5",150 ml,1
2024-04-25,Visakhapatnam,Glow Glisten,beauty-hygiene,skin-care,face-care,402279,"Vitamin B5, Oil-Free Moisturizer With Zinc",50 ml,1
2024-02-26,Gurgaon,Pure Care,beauty-hygiene,skin-care,face-care,402872,Pure Care Double Cleanse,45 ml,1
2024-05-17,Bangalore,Glow Glisten,beauty-hygiene,makeup,lips,401462,"Vitamin B5, Oil-Free Moisturizer With Zinc",5 g,1
2024-02-14,Chandigarh Tricity,Glow Glisten,beauty-hygiene,skin-care,face-care,402293,"Vitamin B5, Oil-Free Moisturizer With Zinc",3 pcs,2
